title,subtitle,release_date,length,keysig,tempo,label,remix,official,collaboration,anison,yt_id,license_info,link,art,spotify,apple_music,soundcloud,youtube,bandcamp,download
Nanamori,Similar Outskirts Remix,2017-2-5,217,A# / Gm,160,Independent,true,false,false,false,false,,https://soundcloud.com/similar-outskirts/nanamori-remix,https://i1.sndcdn.com/artworks-000206361585-o76n59-t200x200.jpg,,,,,,
Starchaser,Similar Outskirts Remix,2017-2-15,350,D# / Cm,150,Independent,true,false,false,false,false,,https://soundcloud.com/dreamscape_records/starchaser-similar-outskirts-remix,https://i1.sndcdn.com/artworks-000207914906-wpe4v0-t200x200.jpg,,,,,,
Burnout,,2017-3-7,293,G# / Fm,174,Umbra Collective,false,true,false,false,false,,https://soundcloud.com/umbracollective/similar-outskirts-burnout,https://i1.sndcdn.com/artworks-000211074842-oekjck-t200x200.jpg,,,,,,
Guilty Eyes Fever,Similar Outskirts Remix,2017-4-13,299,A / F#m,150,Independent,true,false,false,true,false,,https://soundcloud.com/similar-outskirts-extra/guilty-eyes-fever-remix,https://i1.sndcdn.com/artworks-000217654503-mqffcv-t200x200.jpg,,,,,,
No Stopping Us,Similar Outskirts Remix,2017-5-28,262,E / C#m,160,Independent,true,false,false,false,false,,https://soundcloud.com/similar-outskirts/no-stopping-us-remix,https://i1.sndcdn.com/artworks-000224736337-vmtyfc-t200x200.jpg,,,,,,
Atlantis,,2017-6-19,262,A / F#m,170,Independent,false,true,false,false,false,,https://soundcloud.com/dreamscape_records/similar-outskirts-atlantis,https://i1.sndcdn.com/artworks-000229273632-z7qd0k-t200x200.jpg,,,,,,
Phantom,,2017-7-10,253,F / Dm,128,Rushdown,false,true,false,false,true,,https://fanlink.tv/SimilarOutskirtsPhantom,https://i1.sndcdn.com/artworks-000232933218-ffbdjf-t200x200.jpg,,,,,,
Our World,Similar Outskirts Remix,2017-8-14,339,D / Bm,120,Independent,true,false,false,false,false,,https://soundcloud.com/similar-outskirts/our-world-remix,https://i1.sndcdn.com/artworks-000238230107-oo7d27-t200x200.jpg,,,,,,
Lonely Tuning,Similar Outskirts Remix,2017-8-24,293,D# / Cm,100,Independent,true,false,false,true,false,,https://soundcloud.com/similar-outskirts-extra/lonely-tuning-remix,https://i1.sndcdn.com/artworks-000239720248-34b556-t200x200.jpg,,,,,,
Wait For Me,Similar Outskirts Remix,2017-9-1,300,"G / Em, A / F#m",150,Independent,true,false,false,false,false,,https://soundcloud.com/similar-outskirts/wait-for-me-remix,https://i1.sndcdn.com/artworks-000240844547-41zu9t-t200x200.jpg,,,,,,
Gadget,,2017-10-13,325,A / F#m,128,Independent,false,true,false,false,false,,https://similaroutskirts.fanlink.tv/gadget,https://i1.sndcdn.com/artworks-000247059101-t8kq8m-t200x200.jpg,,,,,,
Daring!!,Similar Outskirts Remix,2018-1-10,241,F / Dm,150,Independent,true,false,false,true,false,,https://soundcloud.com/similar-outskirts-extra/daring-remix,https://i1.sndcdn.com/artworks-000283273985-xul607-t200x200.jpg,,,,,,
Daredevil,,2018-2-23,317,A# / Gm,128,Independent,false,true,false,false,false,,https://similaroutskirts.fanlink.tv/daredevil-ep,https://i1.sndcdn.com/artworks-000296488260-kasjmt-t200x200.jpg,,,,,,
Space Combat,,2018-2-23,280,G# / Fm,150,Independent,false,true,false,false,false,,https://similaroutskirts.fanlink.tv/daredevil-ep,https://i1.sndcdn.com/artworks-000296488260-kasjmt-t200x200.jpg,,,,,,
Triumphant,,2018-2-23,266,G# / Fm,90,Independent,false,true,false,false,false,,https://similaroutskirts.fanlink.tv/daredevil-ep,https://i1.sndcdn.com/artworks-000296488260-kasjmt-t200x200.jpg,,,,,,
Street Race,,2018-2-23,246,G / Em,160,Independent,false,true,false,false,false,,https://similaroutskirts.fanlink.tv/daredevil-ep,https://i1.sndcdn.com/artworks-000296488260-kasjmt-t200x200.jpg,,,,,,
Amber,,2018-4-14,217,D / Bm,100,Independent,false,true,false,false,true,,https://similaroutskirts.fanlink.tv/amber,https://i1.sndcdn.com/artworks-000335226591-f95qoa-t200x200.jpg,,,,,,
HEROIC ADVENT,Similar Outskirts Remix,2018-5-19,237,G / Em,182,Independent,true,false,false,true,false,,https://soundcloud.com/similar-outskirts-extra/heroic-advent-remix,https://i1.sndcdn.com/artworks-000478271904-2j4eds-t200x200.jpg,,,,,,
Chaos,,2018-6-8,256,B / G#m,150,Independent,false,true,false,false,true,,https://similaroutskirts.fanlink.tv/chaos,https://i1.sndcdn.com/artworks-000358440750-81b39h-t200x200.jpg,,,,,,
Xana,,2018-7-27,247,G# / Fm,150,Rushdown,false,true,false,false,true,,https://fanlink.tv/SOHorologyEP,https://i1.sndcdn.com/artworks-000380151171-3tuzlp-t200x200.jpg,,,,,,
Horology,,2018-8-3,280,A# / Gm,150,Rushdown,false,true,false,false,true,,https://fanlink.tv/SOHorologyEP,https://i1.sndcdn.com/artworks-000383639997-6696qo-t200x200.jpg,,,,,,
Time Leap,,2018-8-3,294,A / F#m,150,Rushdown,false,true,false,false,true,,https://fanlink.tv/SOHorologyEP,https://i1.sndcdn.com/artworks-000383639997-6696qo-t200x200.jpg,,,,,,
Hourglass,,2018-8-3,319,"C / Am, D / Bm",150,Rushdown,false,true,false,false,true,,https://fanlink.tv/SOHorologyEP,https://i1.sndcdn.com/artworks-000383639997-6696qo-t200x200.jpg,,,,,,
Cosmonaut,,2018-9-29,227,E / C#m,175,Independent,false,true,false,false,true,,https://similaroutskirts.fanlink.tv/cosmonaut,https://i1.sndcdn.com/artworks-000412651857-ltvb57-t200x200.jpg,,,,,,
Get High,Similar Outskirts Remix,2018-10-26,242,A / F#m,150,Independent,true,false,false,false,false,,https://similaroutskirts.fanlink.tv/get-high-remix,https://i1.sndcdn.com/artworks-000428915211-8uhojv-t200x200.jpg,,,,,,
Whirlwind,Similar Outskirts Remix,2019-2-1,201,G# / Fm,174,Rushdown,true,true,false,false,true,,https://fanlink.tv/WRmxsSimilarOutskirts,https://i1.sndcdn.com/artworks-000481813899-zzqpur-t200x200.jpg,,,,,,
Hey-Day Capriccio,Similar Outskirts Remix,2019-3-5,249,"A# / Gm, F / Dm",150,Independent,true,false,false,true,false,,https://soundcloud.com/similar-outskirts-extra/hey-day-capriccio-remix,https://i1.sndcdn.com/artworks-000499165281-b3te9p-t200x200.jpg,,,,,,
All Might,Similar Outskirts Remix,2019-3-18,266,A / F#m,150,Independent,true,true,false,false,false,,https://fanlink.tv/dandereremixes,https://i1.sndcdn.com/artworks-000505933815-p39pqa-t200x200.jpg,,,,,,
Eternal,Similar Outskirts Remix,2019-7-5,306,D / Bm,110,Independent,true,true,false,false,false,,https://distrokid.com/hyperfollow/fokushi/eternal-remixed,https://i1.sndcdn.com/artworks-000562037337-mrsvh8-t200x200.jpg,,,,,,
Abyss Dweller,,2019-8-30,301,A / F#m,150,Independent,false,true,false,false,true,,https://similaroutskirts.fanlink.tv/abyss-dweller,https://i1.sndcdn.com/artworks-000589915874-8jxu2i-t200x200.jpg,,,,,,
Replay Attack,,2019-9-19,252,G# / Fm,150,Rushdown,false,true,false,false,true,,https://fanlink.tv/ReplayAttack,https://i1.sndcdn.com/artworks-000600103214-127p9h-t200x200.jpg,,,,,,
About Us,Similar Outskirts Remix,2019-10-11,223,E / C#m,100,Independent,true,false,false,false,false,,https://soundcloud.com/disero/au-simout,https://i1.sndcdn.com/artworks-000604999342-wm4czj-t200x200.jpg,,,,,,
Stargazer,,2019-10-18,269,C / Am,128,Independent,false,true,false,false,true,,https://similaroutskirts.fanlink.tv/stargazer,https://i1.sndcdn.com/artworks-000615084523-2nfdzm-t200x200.jpg,,,,,,
For Me,Intro,2019-11-22,116,C / Am,77,Independent,false,true,false,false,true,,https://similaroutskirts.fanlink.tv/imagination-ep,https://i1.sndcdn.com/artworks-000636116902-kos305-t200x200.jpg,,,,,,
Imagination,,2019-11-22,248,C / Am,174,Independent,false,true,false,false,true,,https://similaroutskirts.fanlink.tv/imagination-ep,https://i1.sndcdn.com/artworks-000636116902-kos305-t200x200.jpg,,,,,,
Daydream,,2019-11-22,309,D / Bm,150,Independent,false,true,false,false,true,,https://similaroutskirts.fanlink.tv/imagination-ep,https://i1.sndcdn.com/artworks-000636116902-kos305-t200x200.jpg,,,,,,
Adventure,,2019-11-22,288,D / Bm,170,Independent,false,true,false,false,true,,https://similaroutskirts.fanlink.tv/imagination-ep,https://i1.sndcdn.com/artworks-000636116902-kos305-t200x200.jpg,,,,,,
Another World,,2019-11-22,287,G / Em,110,Independent,false,true,false,false,true,,https://similaroutskirts.fanlink.tv/imagination-ep,https://i1.sndcdn.com/artworks-000636116902-kos305-t200x200.jpg,,,,,,
Crescent,,2020-4-11,225,A / F#m,150,Rushdown,false,true,false,false,true,,https://fanlink.tv/Crescent,https://i1.sndcdn.com/artworks-qU3yxZg2j2KFzju0-BJqBzw-t200x200.jpg,,,,,,
Only Now,Similar Outskirts Remix,2020-4-30,248,A / F#m,174,Independent,true,false,false,false,false,,https://similaroutskirts.fanlink.tv/only-now-remix,https://i1.sndcdn.com/artworks-tyRLQ3KyLtK224wd-NgMjSg-t200x200.jpg,,,,,,
Simulation,,2020-5-22,262,G# / Fm,150,Independent,false,true,false,false,true,,https://similaroutskirts.fanlink.tv/simulation,https://i1.sndcdn.com/artworks-bPMEoYGWdtxvsCLL-Pns6pA-t200x200.jpg,,,,,,
Pyre,,2020-6-19,250,F# / D#m,150,Independent,false,true,false,false,true,,https://similaroutskirts.fanlink.tv/pyre,https://i1.sndcdn.com/artworks-PdaA7DgyvCHpuzva-xkVoQQ-t200x200.jpg,,,,,,
Fire Bird,Similar Outskirts Remix,2020-7-10,333,A# / Gm,150,Independent,true,false,false,true,false,,https://soundcloud.com/similar-outskirts-extra/fire-bird-remix,https://i1.sndcdn.com/artworks-9EA34IQ7AbN57H07-VTiVwQ-t200x200.jpg,,,,,,
Eon,,2020-7-31,275,D / Bm,128,Independent,false,true,false,false,true,,https://similaroutskirts.fanlink.tv/eon,https://i1.sndcdn.com/artworks-RBCKyvOtv4xI8T1Y-uDF6EQ-t200x200.jpg,,,,,,
If,w/ Winamp Boys,2020-8-12,245,G / Em,150,FORM,false,true,true,false,true,,https://anv5.artbyform.com,https://i1.sndcdn.com/artworks-IUrBEdMkZJEKrWq9-yIoKxA-t200x200.jpg,,,,,,
Titans,Intro,2020-9-25,139,G / Em,75,Rushdown,false,true,false,false,true,,https://fanlink.tv/TitansEP,https://i1.sndcdn.com/artworks-7FW7E8Q1zRqYjzRv-ktsq8Q-t200x200.jpg,,,,,,
Colossal,,2020-9-26,243,G / Em,150,Rushdown,false,true,false,false,true,,https://fanlink.tv/TitansEP,https://i1.sndcdn.com/artworks-7FW7E8Q1zRqYjzRv-ktsq8Q-t200x200.jpg,,,,,,
